┌央视频道┐,#genre#

CCTV-1,http://czkeji.vip:9000/udp/239.252.219.200:5140
CCTV-2,http://czkeji.vip:9000/udp/239.252.220.183:5140
CCTV-3,http://czkeji.vip:9000/udp/239.252.219.252:5140
CCTV-3,http://czkeji.vip:9000/udp/239.252.220.193:5140
CCTV-4,http://czkeji.vip:9000/udp/239.252.220.184:5140
CCTV-5,http://czkeji.vip:9000/udp/239.252.219.198:5140
CCTV-5,http://czkeji.vip:9000/udp/239.252.219.236:5140
CCTV-5+,http://czkeji.vip:9000/udp/239.252.219.72:5140
CCTV-6,http://czkeji.vip:9000/udp/239.252.219.237:5140
CCTV-6,http://czkeji.vip:9000/udp/239.252.220.195:5140
CCTV-7,http://czkeji.vip:9000/udp/239.252.220.185:5140
CCTV-8,http://czkeji.vip:9000/udp/239.252.219.253:5140
CCTV-8,http://czkeji.vip:9000/udp/239.252.220.196:5140
CCTV-9,http://czkeji.vip:9000/udp/239.252.220.186:5140
CCTV-10,http://czkeji.vip:9000/udp/239.252.220.91:5140
CCTV-11,http://czkeji.vip:9000/udp/239.252.219.78:5140
CCTV-12,http://czkeji.vip:9000/udp/239.252.220.187:5140
CCTV-13,http://czkeji.vip:9000/udp/239.252.219.139:5140
CCTV-14,http://czkeji.vip:9000/udp/239.252.220.92:5140
CCTV-15,http://czkeji.vip:9000/udp/239.252.219.79:5140
CCTV-16,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.184:8001
CCTV-17,http://czkeji.vip:9000/udp/239.252.220.192:5140

CCTV-1,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/01.m3u8?msisdn=&amp;Channel_ID=&amp;ContentId=&amp;HlsSubType=&amp;HlsProfileId=&amp;encrypt=
CCTV-2,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/01.m3u8?msisdn=&amp;Channel_ID=&amp;ContentId=&amp;HlsSubType=&amp;HlsProfileId=&amp;encrypt=
CCTV-3,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/01.m3u8?msisdn=&amp;Channel_ID=&amp;ContentId=&amp;HlsSubType=&amp;HlsProfileId=&amp;encrypt=
CCTV-4,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/01.m3u8?msisdn=&amp;Channel_ID=&amp;ContentId=&amp;HlsSubType=&amp;HlsProfileId=&amp;encrypt=
CCTV-5,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/1200/01.m3u8?msisdn=&amp;Channel_ID=&amp;ContentId=&amp;HlsSubType=&amp;HlsProfileId=&amp;encrypt=
CCTV-5+,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/2500/01.m3u8?msisdn=&amp;Channel_ID=&amp;ContentId=&amp;HlsSubType=&amp;HlsProfileId=&amp;encrypt=
CCTV-6,http://hlsbkmgsplive.miguvideo.com/wd_r2/ocn/cctv6hd/3000/01.m3u8?msisdn=&amp;Channel_ID=&amp;ContentId=&amp;HlsSubType=&amp;HlsProfileId=&amp;encrypt=
CCTV-7,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/57/01.m3u8?msisdn=&amp;Channel_ID=&amp;ContentId=&amp;HlsSubType=&amp;HlsProfileId=&amp;encrypt=
CCTV-8,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/2000/01.m3u8?msisdn=&amp;Channel_ID=&amp;ContentId=&amp;HlsSubType=&amp;HlsProfileId=&amp;encrypt=
CCTV-9,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/57/01.m3u8?msisdn=&amp;Channel_ID=&amp;ContentId=&amp;HlsSubType=&amp;HlsProfileId=&amp;encrypt=
CCTV-10,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv10hd/2000/01.m3u8?msisdn=&amp;Channel_ID=&amp;ContentId=&amp;HlsSubType=&amp;HlsProfileId=&amp;encrypt=
CCTV-11,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv11hd/57/20200103/01.m3u8?msisdn=&amp;Channel_ID=&amp;ContentId=&amp;HlsSubType=&amp;HlsProfileId=&amp;encrypt=
CCTV-12,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/57/01.m3u8?msisdn=&amp;Channel_ID=&amp;ContentId=&amp;HlsSubType=&amp;HlsProfileId=&amp;encrypt=
CCTV-13,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/cctv13/2000/01.m3u8?msisdn=&amp;Channel_ID=&amp;ContentId=&amp;HlsSubType=&amp;HlsProfileId=&amp;encrypt=
CCTV-14,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv14hd/2000/01.m3u8?msisdn=&amp;Channel_ID=&amp;ContentId=&amp;HlsSubType=&amp;HlsProfileId=&amp;encrypt=
CCTV-15,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv15hd/57/01.m3u8?msisdn=&amp;Channel_ID=&amp;ContentId=&amp;HlsSubType=&amp;HlsProfileId=&amp;encrypt=
CCTV-17,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv17hd/57/01.m3u8?msisdn=&amp;Channel_ID=&amp;ContentId=&amp;HlsSubType=&amp;HlsProfileId=&amp;encrypt=

CCTV-1,http://ojbk.02200059.xyz:4022/udp/226.1.30.1:6000
CCTV-2,http://ojbk.02200059.xyz:4022/udp/226.1.30.2:6000
CCTV-3,http://ojbk.02200059.xyz:4022/udp/226.1.30.3:6000
CCTV-4,http://ojbk.02200059.xyz:4022/udp/226.1.30.4:6000
CCTV-5,http://ojbk.02200059.xyz:4022/udp/226.1.30.5:6000
CCTV-5+,http://ojbk.02200059.xyz:4022/udp/226.1.30.77:6000
CCTV-6,http://ojbk.02200059.xyz:4022/udp/226.1.30.6:6000
CCTV-7,http://ojbk.02200059.xyz:4022/udp/226.1.30.7:6000
CCTV-8,http://ojbk.02200059.xyz:4022/udp/226.1.30.8:6000
CCTV-9,http://ojbk.02200059.xyz:4022/udp/226.1.30.9:6000
CCTV-10,http://ojbk.02200059.xyz:4022/udp/226.1.30.10:6000
CCTV-11,http://ojbk.02200059.xyz:4022/udp/226.1.30.11:6000
CCTV-12,http://ojbk.02200059.xyz:4022/udp/226.1.30.12:6000
CCTV-13,http://ojbk.02200059.xyz:4022/udp/226.1.30.13:6000
CCTV-14,http://ojbk.02200059.xyz:4022/udp/226.1.30.14:6000
CCTV-15,http://ojbk.02200059.xyz:4022/udp/226.1.30.15:6000
CCTV-16,http://ojbk.02200059.xyz:4022/udp/226.1.30.241:6000
CCTV-17,http://ojbk.02200059.xyz:4022/udp/226.1.30.223:6000

CCTV-1,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.129:8008
CCTV-2,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.60:8084
CCTV-3,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.172:8001
CCTV-4,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.105:8092
CCTV-4,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.214:4220
CCTV-4,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.213:4220
CCTV-5,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.173:8001
CCTV-5+,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.130:8004
CCTV-6,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.174:8001
CCTV-7,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.61:8104
CCTV-8,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.175:8001
CCTV-9,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.62:8112
CCTV-10,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.63:8116
CCTV-11,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.152:8120
CCTV-12,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.64:8124
CCTV-13,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.124:8128
CCTV-14,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.65:8132
CCTV-15,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.153:8136
CCTV-16,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.184:8001
CCTV-17,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.151:8144

CHC家庭影院,http://ojbk.02200059.xyz:4022/udp/226.1.30.179:6000
CHC动作电影,http://ojbk.02200059.xyz:4022/udp/226.1.30.180:6000
